# l=2, delta=0.6, n_completed=48/50
# run_id  omega_re  omega_im  rho_re  rho_im  final_distance
0 0.74723756 -0.17791279 -0.17791279 -0.74723756 1.02690000e-04
1 0.69312769 -0.45422959 -0.45422959 -0.69312769 2.81577640e-01
2 0.51540446 -1.63309777 -1.63309777 -0.51540446 1.47354553e+00
3 0.56230271 -1.91326118 -1.91326118 -0.56230271 1.74517844e+00
4 0.74740523 -0.17799474 -0.17799474 -0.74740523 9.92000000e-05
5 0.30142868 -1.76675892 -1.76675892 -0.30142868 1.65022605e+00
6 0.74731618 -0.17793824 -0.17793824 -0.74731618 3.00000000e-05
7 0.74731004 -0.17790146 -0.17790146 -0.74731004 3.52300000e-05
8 0.74832910 -0.63794518 -0.63794518 -0.74832910 4.60026240e-01
9 0.74717343 -0.17788166 -0.17788166 -0.74717343 1.70930000e-04
10 0.74730402 -0.17794962 -0.17794962 -0.74730402 4.66000000e-05
11 0.43121880 -1.78085291 -1.78085291 -0.43121880 1.63380737e+00
12 0.51991099 -1.37059140 -1.37059140 -0.51991099 1.21416186e+00
13 0.74741697 -0.17803748 -0.17803748 -0.74741697 1.40450000e-04
14 0.74752486 -0.17813824 -0.17813824 -0.74752486 2.86010000e-04
15 0.74740314 -0.17791124 -0.17791124 -0.74740314 6.37500000e-05
16 0.04981117 -1.82167244 -1.82167244 -0.04981117 1.78562834e+00
17 0.73647028 -0.56993645 -0.56993645 -0.73647028 3.92167120e-01
18 0.99317521 -1.32946265 -1.32946265 -0.99317521 1.17749115e+00
19 0.79366428 -0.46808240 -0.46808240 -0.79366428 2.93836950e-01
20 0.63900864 -0.47391695 -0.47391695 -0.63900864 3.15198150e-01
21 0.75139457 -0.50176078 -0.50176078 -0.75139457 3.23866160e-01
22 0.57398844 -1.31512892 -1.31512892 -0.57398844 1.15034556e+00
23 0.58197719 -1.62305760 -1.62305760 -0.58197719 1.45456782e+00
24 0.74733901 -0.17793515 -0.17793515 -0.74733901 1.51900000e-05
25 0.72639459 -0.47827867 -0.47827867 -0.72639459 3.01088090e-01
26 0.50955284 -1.38265753 -1.38265753 -0.50955284 1.22798015e+00
27 0.34890917 -1.51356435 -1.51356435 -0.34890917 1.39380521e+00
28 0.74737614 -0.17789009 -0.17789009 -0.74737614 4.69100000e-05
29 1.02583373 -0.70289564 -0.70289564 -1.02583373 5.94271130e-01
30 0.74309808 -0.58296639 -0.58296639 -0.74309808 4.05068600e-01
31 0.74709660 -0.17791879 -0.17791879 -0.74709660 2.43400000e-04
32 0.71104503 -0.51837111 -0.51837111 -0.71104503 3.42380320e-01
33 0.10668525 -1.39248765 -1.39248765 -0.10668525 1.37317627e+00
34 1.03495193 -0.71493298 -0.71493298 -1.03495193 6.09182700e-01
35 0.39191335 -1.33882189 -1.33882189 -0.39191335 1.21409279e+00
36 0.61099857 -1.43947256 -1.43947256 -0.61099857 1.26889867e+00
37 0.90146214 -0.69228137 -0.69228137 -0.90146214 5.36955540e-01
38 0.08914492 -1.58699298 -1.58699298 -0.08914492 1.55521941e+00
39 0.74728334 -0.17793487 -0.17793487 -0.74728334 5.85800000e-05
40 0.20030081 -1.55380952 -1.55380952 -0.20030081 1.48064981e+00
41 0.47925234 -1.36050200 -1.36050200 -0.47925234 1.21258863e+00
42 0.74728847 -0.17788351 -0.17788351 -0.74728847 6.31500000e-05
43 -0.03646466 -2.01167965 -2.01167965 0.03646466 1.99424778e+00
44 0.74733537 -0.17793034 -0.17793034 -0.74733537 1.13300000e-05
45 0.63663095 -1.44455302 -1.44455302 -0.63663095 1.27146203e+00
48 0.49861145 -1.73249233 -1.73249233 -0.49861145 1.57434463e+00
49 0.74739128 -0.17781672 -0.17781672 -0.74739128 1.15310000e-04
