# l=2, delta=0.7, n_completed=50/50
# run_id  omega_re  omega_im  rho_re  rho_im  final_distance
0 0.20029747 -1.22792745 -1.22792745 -0.20029747 1.18396417e+00
1 0.71497416 -1.38026047 -1.38026047 -0.71497416 1.20277602e+00
2 0.11287505 -1.31590128 -1.31590128 -0.11287505 1.30289952e+00
3 0.76740223 -0.61961657 -0.61961657 -0.76740223 4.42151960e-01
4 0.32110351 -1.39238691 -1.39238691 -0.32110351 1.28709263e+00
5 0.74738544 -0.17799881 -0.17799881 -0.74738544 9.09700000e-05
6 0.74734145 -0.17803872 -0.17803872 -0.74734145 1.18730000e-04
7 0.74729598 -0.17792268 -0.17792268 -0.74729598 4.41100000e-05
8 0.74733579 -0.17803754 -0.17803754 -0.74733579 1.17610000e-04
9 0.77793336 -1.66969025 -1.66969025 -0.77793336 1.49208392e+00
10 -0.06916079 -1.33324325 -1.33324325 0.06916079 1.41472448e+00
11 1.01583719 -0.64753884 -0.64753884 -1.01583719 5.40955260e-01
12 0.74732465 -0.17809993 -0.17809993 -0.74732465 1.80580000e-04
13 0.71176839 -0.57431078 -0.57431078 -0.71176839 3.97983660e-01
14 0.74730963 -0.17791110 -0.17791110 -0.74730963 3.16500000e-05
15 0.74731529 -0.17783497 -0.17783497 -0.74731529 8.85500000e-05
16 0.74741799 -0.17788345 -0.17788345 -0.74741799 8.61300000e-05
17 0.74736452 -0.17808630 -0.17808630 -0.74736452 1.68090000e-04
18 0.74728191 -0.17787178 -0.17787178 -0.74728191 7.55000000e-05
19 0.06312665 -1.74700904 -1.74700904 -0.06312665 1.71177928e+00
20 0.73527801 -0.54712546 -0.54712546 -0.73527801 3.69402440e-01
21 0.10835207 -1.40172887 -1.40172887 -0.10835207 1.38058456e+00
22 0.74722213 -0.17787515 -0.17787515 -0.74722213 1.26120000e-04
23 0.74729383 -0.17796968 -0.17796968 -0.74729383 6.78200000e-05
24 0.01928211 -1.38026273 -1.38026273 -0.01928211 1.40559466e+00
25 0.40731096 -1.66527891 -1.66527891 -0.40731096 1.52573139e+00
26 0.74714589 -0.17790885 -0.17790885 -0.74714589 1.94430000e-04
27 0.74748981 -0.17780319 -0.17780319 -0.74748981 1.89970000e-04
28 0.06281917 -1.77961862 -1.77961862 -0.06281917 1.74184019e+00
29 0.74734354 -0.17797431 -0.17797431 -0.74734354 5.44300000e-05
30 0.83595645 -0.47450444 -0.47450444 -0.83595645 3.09540320e-01
31 -0.00354437 -1.21637988 -1.21637988 0.00354437 1.28149376e+00
32 0.31861210 -1.07121015 -1.07121015 -0.31861210 9.90845550e-01
33 0.74726617 -0.17780820 -0.17780820 -0.74726617 1.33980000e-04
34 0.98020864 -1.21909189 -1.21909189 -0.98020864 1.06689583e+00
35 0.70248228 -0.55913055 -0.55913055 -0.70248228 3.83840720e-01
36 0.27061218 -1.82115591 -1.82115591 -0.27061218 1.71099201e+00
37 0.61343580 -1.53362525 -1.53362525 -0.61343580 1.36230211e+00
38 0.74727380 -0.17790522 -0.17790522 -0.74727380 6.78300000e-05
39 1.18650162 -0.89645612 -0.89645612 -1.18650162 8.42114650e-01
40 0.74750376 -0.17809467 -0.17809467 -0.74750376 2.39430000e-04
41 0.88512874 -0.45911884 -0.45911884 -0.88512874 3.13142980e-01
42 0.74745864 -0.17783959 -0.17783959 -0.74745864 1.43320000e-04
43 0.74740201 -0.17788570 -0.17788570 -0.74740201 7.08700000e-05
44 0.03643672 -1.58593786 -1.58593786 -0.03643672 1.57730712e+00
45 0.03147041 -1.51735616 -1.51735616 -0.03147041 1.51873582e+00
46 0.74727637 -0.17794436 -0.17794436 -0.74727637 6.81400000e-05
47 0.04880899 -1.25434744 -1.25434744 -0.04880899 1.28321534e+00
48 0.89819032 -1.31607497 -1.31607497 -0.89819032 1.14810825e+00
49 0.74727166 -0.17790510 -0.17790510 -0.74727166 6.99500000e-05
